CRASH_ID,CRASH_DATE,CRASH_TIME,BOROUGH,LATITUDE,LONGITUDE,ON_STREET_NAME,NUMBER_OF_PERSONS_INJURED,NUMBER_OF_PERSONS_KILLED,CONTRIBUTING_FACTOR_VEHICLE_1,VEHICLE_TYPE_CODE_1
100839,03/23/2024,19:14,BROOKLYN,40.61042,-73.76639,Unnamed Street,0,0,Pavement Slippery,Bike
100628,05/20/2024,17:38,BRONX,40.859982,-73.902628,"Fordham Rd, The Bronx",2,0,Turning Improperly,Sedan
100215,12/03/2023,18:39,MANHATTAN,40.737994,-73.993134,Union Square area,1,0,Traffic Control Disregarded,Pick-up Truck
100361,01/12/2023,15:48,BROOKLYN,40.690206,-73.985214,Downtown Brooklyn,0,0,Pavement Slippery,Bus
100467,02/06/2023,12:42,QUEENS,40.76794,-73.838182,"Flushing, Queens",1,0,Unspecified,Bus
100557,09/07/2023,13:38,BRONX,40.864759,-73.899045,"Fordham Rd, The Bronx",1,0,Failure to Yield Right-of-Way,Box Truck
100208,01/26/2023,14:39,MANHATTAN,40.735592,-73.990865,Union Square area,0,0,Backing Unsafely,Box Truck
100739,01/31/2024,12:18,BRONX,40.732038,-73.810212,Unnamed Street,0,0,Driver Inattention/Distraction,Pick-up Truck
100370,01/16/2023,09:06,BROOKLYN,40.691363,-73.995621,Downtown Brooklyn,0,0,Backing Unsafely,Bus
100828,06/02/2023,02:08,BROOKLYN,40.550072,-74.053502,Unnamed Street,1,0,Turning Improperly,Box Truck
100235,09/04/2023,10:20,MANHATTAN,40.733806,-73.989573,Union Square area,1,0,Alcohol Involvement,Sedan
100070,01/27/2024,20:13,MANHATTAN,40.758534,-73.985393,Times Square area,1,0,Unspecified,SUV
100259,03/09/2024,19:54,MANHATTAN,40.736971,-73.988852,Union Square area,0,0,Following Too Closely,Taxi
100741,10/05/2024,22:45,QUEENS,40.645916,-73.802761,Unnamed Street,1,0,Unspecified,Box Truck
100879,07/19/2024,16:13,QUEENS,40.560552,-73.785271,Unnamed Street,1,0,Turning Improperly,Bike
100120,02/17/2023,10:48,MANHATTAN,40.761767,-73.988184,Times Square area,0,0,Failure to Yield Right-of-Way,Sedan
100576,03/01/2023,19:41,BRONX,40.855806,-73.899042,"Fordham Rd, The Bronx",0,0,Failure to Yield Right-of-Way,Sedan
100316,02/21/2024,15:52,MANHATTAN,40.737472,-73.994166,Union Square area,1,0,Following Too Closely,Sedan
100359,11/26/2023,16:05,BROOKLYN,40.695823,-73.996318,Downtown Brooklyn,0,0,Failure to Yield Right-of-Way,Bike
100923,10/31/2023,18:59,STATEN ISLAND,40.803321,-74.054311,Unnamed Street,0,0,Failure to Yield Right-of-Way,Sedan
100429,09/14/2024,20:46,BROOKLYN,40.688523,-73.987861,Downtown Brooklyn,0,0,Failure to Yield Right-of-Way,Sedan
100638,05/09/2024,18:02,MANHATTAN,40.642901,-73.77487,Unnamed Street,0,0,Turning Improperly,Bike
100023,10/16/2024,19:55,MANHATTAN,40.761898,-73.988101,Times Square area,2,0,Driver Inattention/Distraction,Bus
100478,01/14/2023,13:41,QUEENS,40.762381,-73.832832,"Flushing, Queens",0,0,Alcohol Involvement,Pick-up Truck
100827,03/29/2024,10:48,STATEN ISLAND,40.823473,-74.011752,Unnamed Street,0,0,Following Too Closely,Box Truck
100712,09/21/2023,13:28,STATEN ISLAND,40.607501,-73.960182,Unnamed Street,0,0,Failure to Yield Right-of-Way,Box Truck
100067,09/10/2023,20:02,MANHATTAN,40.754696,-73.984037,Times Square area,0,0,Pavement Slippery,Taxi
100260,08/29/2024,15:32,MANHATTAN,40.734066,-73.99101,Union Square area,1,0,Alcohol Involvement,Bus
100209,02/06/2024,18:07,MANHATTAN,40.733208,-73.995547,Union Square area,0,0,Driver Inattention/Distraction,Box Truck
100837,01/18/2024,21:14,MANHATTAN,40.559884,-73.913949,Unnamed Street,0,0,Backing Unsafely,Bus
100731,11/11/2024,00:48,BROOKLYN,40.757754,-74.052589,Unnamed Street,0,0,Alcohol Involvement,Bike
100770,07/02/2023,05:42,QUEENS,40.552729,-74.119835,Unnamed Street,1,0,Backing Unsafely,SUV
100462,12/29/2023,20:24,QUEENS,40.76481,-73.828952,"Flushing, Queens",0,0,Alcohol Involvement,SUV
100500,11/19/2023,16:37,QUEENS,40.77015,-73.835153,"Flushing, Queens",0,0,Turning Improperly,Pick-up Truck
100711,04/28/2023,17:28,MANHATTAN,40.588133,-73.978983,Unnamed Street,1,0,Driver Inattention/Distraction,Sedan
100578,06/15/2023,17:51,BRONX,40.860279,-73.90271,"Fordham Rd, The Bronx",0,0,Driver Inattention/Distraction,SUV
100158,04/21/2024,10:27,MANHATTAN,40.755943,-73.984673,Times Square area,0,0,Driver Inattention/Distraction,Bus
100174,03/16/2023,13:47,MANHATTAN,40.757433,-73.983841,Times Square area,0,0,Following Too Closely,SUV
100780,06/13/2024,15:37,BROOKLYN,40.661381,-73.94932,Unnamed Street,0,0,Driver Inattention/Distraction,Bus
100486,08/21/2023,19:22,QUEENS,40.76515,-73.841363,"Flushing, Queens",1,0,Driver Inattention/Distraction,Bike
100086,10/02/2024,10:37,MANHATTAN,40.762529,-73.984294,Times Square area,0,0,Unspecified,Bus
100653,07/30/2024,19:10,QUEENS,40.681027,-73.9644,Unnamed Street,0,0,Driver Inattention/Distraction,Bike
100603,09/08/2023,19:58,BRONX,40.856152,-73.896801,"Fordham Rd, The Bronx",0,0,Failure to Yield Right-of-Way,Taxi
100928,09/02/2024,18:42,STATEN ISLAND,40.743728,-74.049967,Unnamed Street,0,0,Unspecified,Sedan
100254,02/13/2023,20:50,MANHATTAN,40.737609,-73.992585,Union Square area,2,0,Turning Improperly,Taxi
100605,10/04/2024,16:09,BRONX,40.859496,-73.89342,"Fordham Rd, The Bronx",1,0,Failure to Yield Right-of-Way,Box Truck
100072,06/22/2024,08:38,MANHATTAN,40.755386,-73.98618,Times Square area,0,0,Pavement Slippery,Pick-up Truck
100218,01/07/2023,08:04,MANHATTAN,40.735554,-73.994161,Union Square area,2,0,Following Too Closely,SUV
100044,11/14/2024,03:24,MANHATTAN,40.754871,-73.981521,Times Square area,1,0,Pavement Slippery,Bike
100581,01/15/2023,05:15,BRONX,40.859925,-73.892832,"Fordham Rd, The Bronx",0,0,Traffic Control Disregarded,Bus
100662,01/13/2023,15:37,MANHATTAN,40.72634,-73.813861,Unnamed Street,0,1,Alcohol Involvement,Sedan
100457,11/09/2023,17:42,QUEENS,40.77137,-73.830747,"Flushing, Queens",2,0,Traffic Control Disregarded,SUV
100844,06/09/2023,12:20,MANHATTAN,40.765988,-73.848475,Unnamed Street,0,0,Unsafe Speed,Pick-up Truck
100873,01/19/2023,13:46,QUEENS,40.677142,-73.890054,Unnamed Street,0,0,Driver Inattention/Distraction,Taxi
100312,05/17/2024,08:37,MANHATTAN,40.733585,-73.990847,Union Square area,0,0,Backing Unsafely,Pick-up Truck
100299,03/16/2024,11:56,MANHATTAN,40.736097,-73.991042,Union Square area,1,0,Turning Improperly,Box Truck
100136,10/14/2023,08:36,MANHATTAN,40.761559,-73.986209,Times Square area,0,0,Backing Unsafely,SUV
100597,07/25/2024,17:51,BRONX,40.856412,-73.905608,"Fordham Rd, The Bronx",1,0,Pavement Slippery,Pick-up Truck
100909,03/08/2024,14:32,BROOKLYN,40.814332,-74.047335,Unnamed Street,1,0,Backing Unsafely,Sedan
100332,07/21/2023,16:44,BROOKLYN,40.692546,-73.992317,Downtown Brooklyn,0,0,Failure to Yield Right-of-Way,Bus
100139,12/28/2024,12:12,MANHATTAN,40.752897,-73.986719,Times Square area,2,0,Backing Unsafely,SUV
100887,05/12/2024,06:53,BRONX,40.787717,-74.059904,Unnamed Street,1,0,Unsafe Speed,Bike
100872,05/08/2023,17:22,MANHATTAN,40.576767,-73.977607,Unnamed Street,0,0,Driver Inattention/Distraction,Pick-up Truck
100292,04/02/2024,20:15,MANHATTAN,40.737384,-73.998451,Union Square area,1,0,Traffic Control Disregarded,Taxi
100404,03/09/2024,05:10,BROOKLYN,40.694677,-73.987644,Downtown Brooklyn,1,0,Traffic Control Disregarded,SUV
100060,12/09/2023,12:00,MANHATTAN,40.758827,-73.984664,Times Square area,0,0,Driver Inattention/Distraction,Bike
100572,05/22/2023,13:57,BRONX,40.863405,-73.894768,"Fordham Rd, The Bronx",0,0,Turning Improperly,Bike
100165,06/28/2023,18:46,MANHATTAN,40.757691,-73.98558,Times Square area,1,0,Unspecified,Sedan
100423,06/16/2024,15:04,BROOKLYN,40.691886,-73.988083,Downtown Brooklyn,0,0,Alcohol Involvement,Box Truck
100514,10/31/2024,18:33,QUEENS,40.763855,-73.832767,"Flushing, Queens",0,0,Unsafe Speed,Bus
100231,10/19/2023,20:24,MANHATTAN,40.734739,-73.991965,Union Square area,3,0,Pavement Slippery,Pick-up Truck
100696,03/03/2024,02:17,STATEN ISLAND,40.749922,-74.035838,Unnamed Street,2,0,Following Too Closely,Taxi
100066,12/02/2023,22:52,MANHATTAN,40.75289,-73.985667,Times Square area,0,0,Following Too Closely,Box Truck
100718,08/22/2023,09:31,BROOKLYN,40.655759,-73.860927,Unnamed Street,0,0,Unspecified,Bike
100629,03/17/2023,09:41,BRONX,40.860771,-73.898143,"Fordham Rd, The Bronx",3,0,Driver Inattention/Distraction,Pick-up Truck
100210,12/13/2024,16:02,MANHATTAN,40.734191,-73.989326,Union Square area,0,0,Alcohol Involvement,Sedan
100651,04/02/2024,12:26,STATEN ISLAND,40.8104,-73.818726,Unnamed Street,0,0,Traffic Control Disregarded,Bike
100847,10/04/2023,18:23,BROOKLYN,40.694904,-73.795267,Unnamed Street,0,0,Backing Unsafely,SUV
100745,09/28/2024,16:48,BRONX,40.644625,-73.87696,Unnamed Street,3,0,Turning Improperly,Bike
100507,11/18/2023,16:52,QUEENS,40.763375,-73.833009,"Flushing, Queens",0,0,Turning Improperly,Taxi
100213,02/06/2024,11:49,MANHATTAN,40.735304,-73.993048,Union Square area,2,0,Unsafe Speed,Bus
100327,09/17/2023,17:42,BROOKLYN,40.694405,-73.988022,Downtown Brooklyn,0,0,Turning Improperly,Bike
100483,01/19/2024,17:35,QUEENS,40.762407,-73.82869,"Flushing, Queens",1,0,Backing Unsafely,Bus
100675,08/30/2024,13:48,QUEENS,40.817292,-73.922201,Unnamed Street,0,0,Driver Inattention/Distraction,Taxi
100706,05/06/2023,12:18,QUEENS,40.594814,-73.890697,Unnamed Street,0,0,Following Too Closely,Bus
100110,02/19/2023,18:10,MANHATTAN,40.758442,-73.986168,Times Square area,0,0,Turning Improperly,Taxi
100344,01/11/2024,14:35,BROOKLYN,40.691648,-73.989549,Downtown Brooklyn,3,0,Failure to Yield Right-of-Way,Box Truck
100528,03/08/2023,16:48,QUEENS,40.765061,-73.835698,"Flushing, Queens",0,0,Following Too Closely,Pick-up Truck
100717,05/30/2023,01:46,BROOKLYN,40.65162,-73.924505,Unnamed Street,0,0,Traffic Control Disregarded,Box Truck
100925,11/15/2023,03:24,BRONX,40.828875,-74.076312,Unnamed Street,0,0,Traffic Control Disregarded,Pick-up Truck
100076,12/18/2024,06:01,MANHATTAN,40.750492,-73.983446,Times Square area,1,0,Traffic Control Disregarded,Pick-up Truck
100893,05/18/2023,12:03,QUEENS,40.739177,-73.97016,Unnamed Street,0,0,Unsafe Speed,Box Truck
100265,07/24/2023,08:12,MANHATTAN,40.73703,-73.9942,Union Square area,0,0,Driver Inattention/Distraction,Pick-up Truck
100367,10/18/2023,14:54,BROOKLYN,40.69555,-73.992378,Downtown Brooklyn,1,0,Following Too Closely,Pick-up Truck
100547,12/09/2023,17:30,BRONX,40.860549,-73.895697,"Fordham Rd, The Bronx",0,0,Backing Unsafely,Box Truck
100342,04/27/2024,06:30,BROOKLYN,40.697179,-73.99546,Downtown Brooklyn,1,0,Failure to Yield Right-of-Way,Box Truck
100915,10/03/2023,01:24,BROOKLYN,40.791757,-73.754105,Unnamed Street,0,0,Driver Inattention/Distraction,Bus
100720,05/28/2023,02:42,BRONX,40.768591,-73.938773,Unnamed Street,3,0,Turning Improperly,Taxi
100664,04/03/2023,13:01,MANHATTAN,40.611765,-74.009008,Unnamed Street,1,0,Turning Improperly,SUV
100670,09/16/2023,22:06,MANHATTAN,40.637675,-74.032073,Unnamed Street,0,0,Pavement Slippery,Sedan
100584,05/01/2024,14:47,BRONX,40.865599,-73.894689,"Fordham Rd, The Bronx",0,0,Alcohol Involvement,Box Truck
100307,12/30/2024,06:53,MANHATTAN,40.741503,-73.992126,Union Square area,3,0,Alcohol Involvement,Taxi
100692,12/21/2023,05:01,BROOKLYN,40.848694,-73.957927,Unnamed Street,2,0,Unspecified,SUV
100168,08/27/2023,16:05,MANHATTAN,40.757268,-73.982608,Times Square area,2,0,Turning Improperly,Taxi
100513,01/06/2023,02:07,QUEENS,40.765051,-73.835977,"Flushing, Queens",1,0,Alcohol Involvement,Bus
100804,08/12/2024,01:36,BROOKLYN,40.566354,-73.88339,Unnamed Street,0,0,Alcohol Involvement,Taxi
100137,12/12/2023,05:55,MANHATTAN,40.760256,-73.982569,Times Square area,0,0,Backing Unsafely,Taxi
100506,02/28/2024,20:56,QUEENS,40.766708,-73.839397,"Flushing, Queens",2,0,Traffic Control Disregarded,Pick-up Truck
100294,01/11/2023,17:24,MANHATTAN,40.734561,-73.988958,Union Square area,1,0,Unspecified,Bike
100078,01/22/2024,17:13,MANHATTAN,40.759922,-73.987944,Times Square area,0,0,Backing Unsafely,Bike
100767,09/09/2024,06:10,STATEN ISLAND,40.5657,-73.836861,Unnamed Street,0,0,Failure to Yield Right-of-Way,Box Truck
100559,12/25/2024,19:42,BRONX,40.861745,-73.902577,"Fordham Rd, The Bronx",0,0,Alcohol Involvement,Taxi
100482,09/05/2024,07:33,QUEENS,40.76755,-73.83812,"Flushing, Queens",2,0,Unspecified,Pick-up Truck
100244,08/02/2024,10:02,MANHATTAN,40.737112,-73.993216,Union Square area,0,0,Unspecified,Pick-up Truck
100596,12/21/2023,06:07,BRONX,40.86593,-73.896618,"Fordham Rd, The Bronx",0,0,Alcohol Involvement,Pick-up Truck
100519,08/31/2023,18:12,QUEENS,40.762596,-73.831166,"Flushing, Queens",0,0,Following Too Closely,Taxi
100849,02/13/2024,17:53,QUEENS,40.700581,-73.907971,Unnamed Street,1,0,Turning Improperly,Bus
100065,03/08/2023,17:56,MANHATTAN,40.76047,-73.979343,Times Square area,0,0,Turning Improperly,SUV
100141,08/23/2023,17:33,MANHATTAN,40.75246,-73.9872,Times Square area,0,0,Alcohol Involvement,Bus
100869,11/21/2024,21:54,MANHATTAN,40.778139,-73.756028,Unnamed Street,1,0,Backing Unsafely,Taxi
100734,09/24/2024,06:22,BROOKLYN,40.743264,-73.88971,Unnamed Street,2,0,Following Too Closely,SUV
100617,01/23/2023,17:43,BRONX,40.858147,-73.898237,"Fordham Rd, The Bronx",0,0,Unsafe Speed,Bus
100866,03/13/2023,08:58,STATEN ISLAND,40.748477,-74.055465,Unnamed Street,2,0,Pavement Slippery,Box Truck
100398,05/01/2024,10:55,BROOKLYN,40.691186,-73.990099,Downtown Brooklyn,0,0,Turning Improperly,Bike
100333,11/29/2024,07:55,BROOKLYN,40.690388,-73.988062,Downtown Brooklyn,0,0,Unsafe Speed,Taxi
100428,01/08/2024,16:08,BROOKLYN,40.691002,-73.99363,Downtown Brooklyn,0,0,Unsafe Speed,Box Truck
100544,08/09/2024,22:28,BRONX,40.863842,-73.899813,"Fordham Rd, The Bronx",1,0,Backing Unsafely,Taxi
100049,12/08/2024,17:57,MANHATTAN,40.763441,-73.984286,Times Square area,1,0,Turning Improperly,Pick-up Truck
100800,01/03/2024,03:59,MANHATTAN,40.656505,-73.95724,Unnamed Street,1,0,Failure to Yield Right-of-Way,Bus
100417,02/24/2024,16:39,BROOKLYN,40.698017,-73.991264,Downtown Brooklyn,1,0,Turning Improperly,Box Truck
100672,03/09/2023,22:24,STATEN ISLAND,40.606491,-74.028506,Unnamed Street,0,0,Following Too Closely,Pick-up Truck
100877,02/09/2024,14:16,BROOKLYN,40.745941,-74.090607,Unnamed Street,1,0,Unspecified,Box Truck
100302,07/18/2023,12:56,MANHATTAN,40.737291,-73.989069,Union Square area,0,0,Pavement Slippery,SUV
100924,04/05/2024,17:16,STATEN ISLAND,40.745987,-74.121853,Unnamed Street,0,0,Following Too Closely,Pick-up Truck
100296,02/26/2024,17:44,MANHATTAN,40.741174,-73.989138,Union Square area,3,0,Failure to Yield Right-of-Way,Sedan
100760,08/22/2023,13:55,QUEENS,40.849055,-73.977863,Unnamed Street,0,0,Traffic Control Disregarded,Bus
100033,09/04/2023,11:01,MANHATTAN,40.758697,-73.984971,Times Square area,0,0,Following Too Closely,Sedan
100031,06/24/2024,17:42,MANHATTAN,40.761172,-73.985346,Times Square area,1,0,Pavement Slippery,Box Truck
100704,07/08/2023,07:40,STATEN ISLAND,40.710941,-73.948948,Unnamed Street,0,0,Unsafe Speed,SUV
100433,01/31/2023,16:58,BROOKLYN,40.689101,-73.99331,Downtown Brooklyn,1,0,Traffic Control Disregarded,Bus
100531,03/09/2024,15:05,QUEENS,40.762037,-73.837856,"Flushing, Queens",1,0,Turning Improperly,Box Truck
100721,10/02/2023,14:28,BROOKLYN,40.595379,-74.03613,Unnamed Street,0,0,Backing Unsafely,Box Truck
100109,02/23/2024,18:20,MANHATTAN,40.757703,-73.978606,Times Square area,0,0,Failure to Yield Right-of-Way,Bus
100077,05/03/2024,20:14,MANHATTAN,40.755828,-73.987098,Times Square area,0,0,Unsafe Speed,Pick-up Truck
100833,08/09/2023,18:22,MANHATTAN,40.684271,-73.818228,Unnamed Street,0,0,Failure to Yield Right-of-Way,Pick-up Truck
100589,06/30/2024,18:37,BRONX,40.861466,-73.903203,"Fordham Rd, The Bronx",2,0,Following Too Closely,Box Truck
100082,04/07/2024,20:24,MANHATTAN,40.756279,-73.987542,Times Square area,2,0,Unspecified,Box Truck
100306,12/06/2024,17:16,MANHATTAN,40.738313,-73.98801,Union Square area,1,0,Alcohol Involvement,Bike
100425,07/13/2023,15:12,BROOKLYN,40.688842,-73.992124,Downtown Brooklyn,0,0,Failure to Yield Right-of-Way,Taxi
100448,10/17/2024,17:21,QUEENS,40.766648,-73.834194,"Flushing, Queens",0,0,Unspecified,Pick-up Truck
100002,11/12/2023,09:58,MANHATTAN,40.758726,-73.99124,Times Square area,0,0,Following Too Closely,Bus
100247,05/16/2024,06:03,MANHATTAN,40.733745,-73.990191,Union Square area,1,0,Unsafe Speed,Taxi
100328,08/15/2023,08:42,BROOKLYN,40.694023,-73.988714,Downtown Brooklyn,1,0,Unspecified,SUV
100405,04/15/2024,22:53,BROOKLYN,40.691242,-73.98984,Downtown Brooklyn,0,0,Turning Improperly,Bus
100005,05/14/2023,17:05,MANHATTAN,40.756841,-73.988976,Times Square area,0,0,Failure to Yield Right-of-Way,SUV
100054,12/25/2024,06:34,MANHATTAN,40.758209,-73.982549,Times Square area,1,0,Alcohol Involvement,Sedan
100362,06/23/2024,08:37,BROOKLYN,40.695074,-73.985923,Downtown Brooklyn,0,0,Traffic Control Disregarded,SUV
100497,05/08/2024,12:48,QUEENS,40.762321,-73.82811,"Flushing, Queens",1,0,Traffic Control Disregarded,Sedan
100381,03/26/2023,15:28,BROOKLYN,40.694447,-73.983642,Downtown Brooklyn,0,0,Driver Inattention/Distraction,Box Truck
100499,03/25/2023,21:44,QUEENS,40.762466,-73.831805,"Flushing, Queens",0,0,Following Too Closely,Pick-up Truck
100097,03/04/2024,09:50,MANHATTAN,40.761258,-73.986684,Times Square area,0,0,Driver Inattention/Distraction,SUV
100250,09/11/2023,13:57,MANHATTAN,40.734487,-73.992127,Union Square area,1,0,Traffic Control Disregarded,Sedan
100198,12/20/2023,17:30,MANHATTAN,40.734493,-73.992604,Union Square area,1,0,Following Too Closely,Sedan
100590,07/09/2023,05:57,BRONX,40.861148,-73.895393,"Fordham Rd, The Bronx",0,0,Following Too Closely,Sedan
100890,09/02/2024,21:10,STATEN ISLAND,40.631672,-73.996336,Unnamed Street,0,0,Turning Improperly,Bus
100535,06/11/2023,07:12,QUEENS,40.76457,-73.830447,"Flushing, Queens",0,0,Unsafe Speed,SUV
100903,08/31/2023,01:54,MANHATTAN,40.557165,-73.96999,Unnamed Street,0,0,Turning Improperly,Pick-up Truck
100025,06/13/2023,17:32,MANHATTAN,40.761148,-73.981525,Times Square area,0,0,Unspecified,Box Truck
100084,03/31/2024,07:05,MANHATTAN,40.760677,-73.985213,Times Square area,0,0,Pavement Slippery,Bus
100010,12/10/2024,19:04,MANHATTAN,40.751867,-73.982292,Times Square area,1,0,Turning Improperly,Taxi
100532,06/06/2023,09:51,QUEENS,40.765614,-73.835681,"Flushing, Queens",0,0,Backing Unsafely,Box Truck
100323,06/26/2023,14:20,BROOKLYN,40.692914,-73.988546,Downtown Brooklyn,3,0,Traffic Control Disregarded,Pick-up Truck
100904,03/08/2024,23:49,STATEN ISLAND,40.610046,-74.022164,Unnamed Street,0,0,Unspecified,Taxi
100552,08/21/2024,16:48,BRONX,40.859134,-73.895952,"Fordham Rd, The Bronx",0,0,Turning Improperly,SUV
100622,02/19/2024,18:35,BRONX,40.861756,-73.900378,"Fordham Rd, The Bronx",0,0,Traffic Control Disregarded,Sedan
100118,12/09/2024,21:17,MANHATTAN,40.75934,-73.98614,Times Square area,1,0,Following Too Closely,SUV
100908,06/23/2024,06:17,MANHATTAN,40.72389,-73.92779,Unnamed Street,1,0,Pavement Slippery,Bus
100334,08/27/2023,18:44,BROOKLYN,40.687,-73.985234,Downtown Brooklyn,0,0,Turning Improperly,SUV
100029,12/06/2024,21:32,MANHATTAN,40.757628,-73.983279,Times Square area,0,0,Turning Improperly,Sedan
100055,04/03/2024,15:15,MANHATTAN,40.756704,-73.97992,Times Square area,1,0,Pavement Slippery,Pick-up Truck
100649,08/02/2023,09:14,BROOKLYN,40.574434,-73.975994,Unnamed Street,0,0,Turning Improperly,Sedan
100309,09/28/2023,19:53,MANHATTAN,40.739954,-73.992654,Union Square area,2,0,Turning Improperly,Bike
100613,09/27/2023,16:16,BRONX,40.858725,-73.900611,"Fordham Rd, The Bronx",0,0,Following Too Closely,Pick-up Truck
100643,08/18/2024,11:23,STATEN ISLAND,40.591116,-73.805115,Unnamed Street,2,0,Alcohol Involvement,Sedan
100196,07/21/2024,07:27,MANHATTAN,40.73563,-73.991272,Union Square area,0,0,Failure to Yield Right-of-Way,Bike
100439,06/07/2024,19:49,BROOKLYN,40.691615,-73.988574,Downtown Brooklyn,2,0,Turning Improperly,Box Truck
100081,02/24/2024,18:07,MANHATTAN,40.75826,-73.985967,Times Square area,1,0,Following Too Closely,Bike
100365,01/12/2023,06:33,BROOKLYN,40.692578,-73.991026,Downtown Brooklyn,0,0,Following Too Closely,Pick-up Truck
100602,03/11/2023,12:56,BRONX,40.858758,-73.899294,"Fordham Rd, The Bronx",0,0,Unsafe Speed,SUV
100762,11/24/2023,05:58,BRONX,40.767891,-74.062127,Unnamed Street,0,0,Unsafe Speed,Sedan
100764,04/30/2023,16:11,MANHATTAN,40.697721,-73.815308,Unnamed Street,0,0,Driver Inattention/Distraction,Bus
100814,11/09/2024,14:13,BROOKLYN,40.688175,-73.789696,Unnamed Street,0,0,Unspecified,SUV
100261,10/26/2024,13:14,MANHATTAN,40.734605,-73.990497,Union Square area,1,0,Traffic Control Disregarded,Bike
100204,06/22/2024,13:40,MANHATTAN,40.734792,-73.993312,Union Square area,1,0,Pavement Slippery,Bike
100211,10/15/2024,10:35,MANHATTAN,40.735832,-73.989664,Union Square area,0,0,Traffic Control Disregarded,Bike
100892,07/04/2023,19:02,BRONX,40.564005,-73.838187,Unnamed Street,0,0,Unspecified,Sedan
100665,08/28/2023,05:57,BROOKLYN,40.703851,-74.01268,Unnamed Street,0,0,Failure to Yield Right-of-Way,Box Truck
100525,06/25/2024,02:41,QUEENS,40.761209,-73.830784,"Flushing, Queens",0,0,Traffic Control Disregarded,Taxi
100280,04/10/2023,06:45,MANHATTAN,40.73597,-73.990055,Union Square area,0,0,Pavement Slippery,Taxi
